feature_1,feature_2,correlation
age_range,age_range,1.0
age_range,experience_years,0.12346471104127647
age_range,hours_per_week,0.27337256862717096
age_range,skill_level,0.09547972801289945
age_range,ref_source_LinkedIn,-0.1743779858259087
age_range,ref_source_Twitter,0.48564293117863194
age_range,ref_source_WhatsApp,-0.262277159081954
age_range,ref_source_Word of mouth,0.02365675018317802
age_range,ref_source_through a geeks for geeks webinar,-0.09230925291687624
age_range,main_aim_Connect with fellow data professionals,0.01645133606725523
age_range,main_aim_Learn data afresh,-0.26363473406840016
age_range,main_aim_Upskill,0.24945513919971554
age_range,main_aim_both upskilling and connecting with fellow data professionals,-0.09230925291687624
age_range,gender,-0.13474770886266482
age_range,country,0.11538656614609526
age_range,track,-0.01645133606725513
age_range,aptitude_completed,-0.16451336067255246
age_range,total_score,0.3199577406279589
age_range,month,-0.08798446275141401
age_range,motivation_len,-0.1079127249154956
age_range,graduated_num,-0.04063180276860003
experience_years,age_range,0.12346471104127647
experience_years,experience_years,1.0
experience_years,hours_per_week,0.061658086163610695
experience_years,skill_level,0.6510354103974587
experience_years,ref_source_LinkedIn,-0.09891584831523878
experience_years,ref_source_Twitter,0.33113913454360755
experience_years,ref_source_WhatsApp,-0.09230223079880914
experience_years,ref_source_Word of mouth,-0.1665086523737407
experience_years,ref_source_through a geeks for geeks webinar,-0.08121513514008279
experience_years,main_aim_Connect with fellow data professionals,-0.0018092680848855237
experience_years,main_aim_Learn data afresh,-0.24568387401622482
experience_years,main_aim_Upskill,0.2547472593261511
experience_years,main_aim_both upskilling and connecting with fellow data professionals,-0.08121513514008279
experience_years,gender,0.19458181259252944
experience_years,country,-0.08121513514008274
experience_years,track,-0.11217462126290342
experience_years,aptitude_completed,0.11579315743267458
experience_years,total_score,0.1686205691665021
experience_years,month,-0.058748749213820214
experience_years,motivation_len,0.1010332775987159
experience_years,graduated_num,0.20555387655340918
hours_per_week,age_range,0.27337256862717096
hours_per_week,experience_years,0.061658086163610695
hours_per_week,hours_per_week,1.0
hours_per_week,skill_level,0.2825308125526225
hours_per_week,ref_source_LinkedIn,0.1532589197696066
hours_per_week,ref_source_Twitter,0.10903797994293224
hours_per_week,ref_source_WhatsApp,-0.03680452470251774
hours_per_week,ref_source_Word of mouth,-0.2755331890595876
hours_per_week,ref_source_through a geeks for geeks webinar,-0.032383664204138206
hours_per_week,main_aim_Connect with fellow data professionals,0.0992682515405903
hours_per_week,main_aim_Learn data afresh,-0.013629747492866568
hours_per_week,main_aim_Upskill,-0.010001500337584351
hours_per_week,main_aim_both upskilling and connecting with fellow data professionals,-0.032383664204138206
hours_per_week,gender,-0.058370396709673825
hours_per_week,country,-0.03238366420413817
hours_per_week,track,-0.24470778286750164
hours_per_week,aptitude_completed,-0.09926825154059024
hours_per_week,total_score,0.1238281054204926
hours_per_week,month,0.05644151564780914
hours_per_week,motivation_len,0.12623141638727423
hours_per_week,graduated_num,0.03706126092186208
skill_level,age_range,0.09547972801289945
skill_level,experience_years,0.6510354103974587
skill_level,hours_per_week,0.2825308125526225
skill_level,skill_level,1.0
skill_level,ref_source_LinkedIn,-0.15346553406591915
skill_level,ref_source_Twitter,0.4274017241664559
skill_level,ref_source_WhatsApp,-0.10551922850953295
skill_level,ref_source_Word of mouth,-0.27363022600554104
skill_level,ref_source_through a geeks for geeks webinar,0.04932366327814371
skill_level,main_aim_Connect with fellow data professionals,0.07032362499023352
skill_level,main_aim_Learn data afresh,-0.3419213793331645
skill_level,main_aim_Upskill,0.2598624730468498
skill_level,main_aim_both upskilling and connecting with fellow data professionals,0.04932366327814371
skill_level,gender,0.1399485208178945
skill_level,country,-0.1334640300467418
skill_level,track,-0.20062916541331324
skill_level,aptitude_completed,0.0599819154328463
skill_level,total_score,0.13554069441338848
skill_level,month,-0.15565580974852686
skill_level,motivation_len,0.10227666083015748
skill_level,graduated_num,0.21710817657110307
ref_source_LinkedIn,age_range,-0.1743779858259087
ref_source_LinkedIn,experience_years,-0.09891584831523878
ref_source_LinkedIn,hours_per_week,0.1532589197696066
ref_source_LinkedIn,skill_level,-0.15346553406591915
ref_source_LinkedIn,ref_source_LinkedIn,1.0
ref_source_LinkedIn,ref_source_Twitter,-0.18898223650461363
ref_source_LinkedIn,ref_source_WhatsApp,-0.4082482904638628
ref_source_LinkedIn,ref_source_Word of mouth,-0.09205746178983232
ref_source_LinkedIn,ref_source_through a geeks for geeks webinar,-0.04490132550669373
ref_source_LinkedIn,main_aim_Connect with fellow data professionals,-0.06401843996644799
ref_source_LinkedIn,main_aim_Learn data afresh,0.05399492471560388
ref_source_LinkedIn,main_aim_Upskill,-0.034668762264076815
