,correlation_with_graduated
age_range,-0.04063180276860003
experience_years,0.20555387655340918
hours_per_week,0.03706126092186208
skill_level,0.21710817657110307
ref_source_LinkedIn,0.039528470752104757
ref_source_Twitter,0.05976143046671964
ref_source_WhatsApp,-0.11834115780078214
ref_source_Word of mouth,0.007277781371744767
ref_source_through a geeks for geeks webinar,0.22718473369882597
main_aim_Connect with fellow data professionals,0.11134424539960092
main_aim_Learn data afresh,-0.11952286093343932
main_aim_Upskill,0.054816126206689304
main_aim_both upskilling and connecting with fellow data professionals,0.22718473369882597
gender,-0.014418745018211825
country,-0.07099522928088316
track,-0.1113442453996009
aptitude_completed,0.10122204127236455
total_score,-0.05152928347134899
month,-0.11987084357238831
motivation_len,0.1620157364018576
