Date, Open, High, Low, Close, Volume
05/14/26, 446.49, 451.98, 441.16, 443.30, 46070359
05/13/26, 436.665, 453.40, 430.21, 445.27, 68283234
05/12/26, 441.41, 447.80, 422.26, 433.45, 60569301
05/11/26, 422.16, 449.16, 416.80, 445.00, 78376125
05/08/26, 416.475, 431.20, 416.39, 428.35, 65049969
05/07/26, 407.48, 415.83, 402.12, 411.79, 64294219
05/06/26, 386.25, 401.68, 384.02, 398.73, 53465367
05/05/26, 395.185, 402.12, 389.00, 389.37, 47780633
05/04/26, 390.23, 394.64, 384.8004, 392.51, 48765141
05/01/26, 382.485, 397.8211, 378.80, 390.82, 65338262
04/30/26, 372.75, 384.75, 368.17, 381.63, 51076039
04/29/26, 375.40, 376.40, 370.04, 372.80, 45384840
04/28/26, 374.675, 382.29, 372.54, 376.02, 50864359
04/27/26, 372.09, 380.78, 364.02, 378.67, 66735820
04/24/26, 373.50, 382.76, 370.73, 376.30, 62893312
04/23/26, 375.28, 386.00, 368.39, 373.72, 93969516
04/22/26, 387.57, 393.01, 385.30, 387.51, 62362793
04/21/26, 393.00, 393.95, 385.2201, 386.42, 50530609
04/20/26, 402.58, 406.80, 388.33, 392.50, 64603871
04/17/26, 395.92, 409.28, 391.65, 400.62, 90640031
04/16/26, 393.81, 394.06, 381.80, 388.90, 63515141
04/15/26, 366.83, 394.65, 362.50, 391.95, 113810398
04/14/26, 357.67, 367.63, 354.77, 364.20, 59979609
04/13/26, 350.065, 356.35, 348.57, 352.42, 53617480
04/10/26, 346.285, 350.36, 342.74, 348.95, 51336031
04/09/26, 343.15, 348.88, 337.25, 345.62, 62164020
04/08/26, 363.79, 364.50, 339.67, 343.25, 78838625
04/07/26, 346.44, 348.02, 337.24, 346.65, 74515359
04/06/26, 362.59, 367.72, 346.64, 352.82, 77697641
04/02/26, 364.195, 370.28, 359.03, 360.59, 83031234
04/01/26, 378.63, 383.14, 374.08, 381.26, 58683754
03/31/26, 361.51, 373.33, 361.00, 371.75, 75534930
03/30/26, 365.86, 367.29, 352.14, 355.28, 67954406
03/27/26, 369.69, 369.86, 359.47, 361.83, 62065660
03/26/26, 381.60, 384.44, 371.87, 372.11, 55522879
03/25/26, 389.99, 396.23, 385.01, 385.95, 55157273
03/24/26, 376.56, 387.48, 376.31, 383.03, 60004910
03/23/26, 373.09, 385.33, 372.73, 380.85, 74606047
03/20/26, 379.85, 379.89, 364.4601, 367.96, 78628602
03/19/26, 387.27, 387.27, 378.73, 380.30, 67078258
03/18/26, 399.00, 403.065, 392.31, 392.78, 50853152
03/17/26, 395.69, 400.12, 393.00, 399.27, 46890473
03/16/26, 396.22, 403.73, 394.42, 395.56, 58068340
03/13/26, 399.165, 400.20, 389.95, 391.20, 58504090
03/12/26, 405.175, 406.50, 394.65, 395.01, 60973793
03/11/26, 402.28, 416.3799, 402.15, 407.82, 62559930
03/10/26, 402.22, 406.59, 398.19, 399.235, 59258738
03/09/26, 390.05, 401.59, 381.40, 398.68, 67018914
03/06/26, 398.09, 402.35, 394.21, 396.73, 64054559
03/05/26, 401.57, 408.62, 399.42, 405.55, 51925898
03/04/26, 397.845, 408.33, 394.58, 405.94, 68305516
03/03/26, 395.09, 396.34, 385.39, 392.43, 62617301
03/02/26, 390.60, 404.54, 388.25, 403.32, 55088340
02/27/26, 402.94, 407.12, 398.11, 402.51, 56890102
02/26/26, 414.42, 416.81, 403.66, 408.58, 53602500
02/25/26, 412.15, 420.34, 412.15, 417.40, 54809699
02/24/26, 399.50, 410.82, 397.64, 409.38, 58579480
02/23/26, 407.285, 407.70, 394.04, 399.83, 69680031
02/20/26, 408.30, 414.70, 405.50, 411.82, 57912230
02/19/26, 407.25, 415.2499, 404.11, 411.71, 51019641
02/18/26, 411.11, 416.90, 409.58, 411.32, 45921398
02/17/26, 412.36, 413.72, 400.51, 410.63, 59678793
02/13/26, 414.305, 424.06, 410.88, 417.44, 51434152
02/12/26, 430.30, 436.23, 414.00, 417.07, 61933359
02/11/26, 427.955, 436.35, 420.03, 428.27, 57361992
02/10/26, 418.08, 427.25, 417.00, 425.21, 64450230
02/09/26, 409.905, 421.25, 407.29, 417.32, 54484262
02/06/26, 400.87, 414.55, 397.751, 411.11, 62677141
02/05/26, 397.015, 402.10, 387.5309, 397.21, 72819844
02/04/26, 420.46, 423.90, 399.18, 406.01, 74606875
02/03/26, 424.27, 428.56, 413.6901, 421.96, 56886551
02/02/26, 421.29, 427.15, 414.50, 421.81, 58739461
01/30/26, 425.35, 439.88, 422.70, 430.41, 82626070
01/29/26, 437.80, 440.2299, 414.62, 416.56, 81686125
01/28/26, 431.91, 438.26, 430.10, 431.46, 54857398
01/27/26, 437.41, 437.52, 430.69, 430.90, 37733078
01/26/26, 445.00, 445.04, 434.28, 435.20, 49397422
01/23/26, 447.425, 452.43, 444.04, 449.06, 56771359
01/22/26, 435.16, 449.50, 432.6293, 449.36, 71546727
01/21/26, 421.66, 438.20, 419.6201, 431.44, 68123992
01/20/26, 429.36, 430.725, 417.44, 419.25, 63187340
01/16/26, 439.50, 447.25, 435.2601, 437.50, 60220551
01/15/26, 441.125, 445.36, 437.65, 438.57, 49465809
01/14/26, 442.81, 443.91, 434.22, 439.20, 57259500
01/13/26, 450.20, 451.81, 443.95, 447.20, 53719207
01/12/26, 441.225, 454.30, 438.00, 448.96, 61649633
01/09/26, 435.945, 449.05, 430.39, 445.01, 67331453
01/08/26, 427.89, 436.89, 424.365, 435.80, 57041090
01/07/26, 435.90, 438.37, 431.29, 431.41, 59828793
01/06/26, 446.38, 448.25, 428.78, 432.96, 89093758
01/05/26, 447.99, 457.5499, 444.57, 451.67, 67940844
01/02/26, 457.80, 458.34, 435.30, 438.07, 85535406
12/31/25, 456.10, 456.55, 449.30, 449.72, 49077961
12/30/25, 461.09, 463.12, 453.83, 454.43, 59238461
12/29/25, 469.00, 469.40, 459.00, 459.64, 66263031
12/26/25, 485.23, 489.09, 473.82, 475.19, 58780660
12/24/25, 488.48, 490.90, 476.80, 485.40, 41285434
12/23/25, 489.395, 491.97, 482.84, 485.56, 58223633
12/22/25, 489.88, 498.83, 485.33, 488.73, 86916070
12/19/25, 488.12, 490.49, 474.72, 481.20, 103305398
12/18/25, 478.16, 490.86, 473.12, 483.37, 95168445
12/17/25, 488.22, 495.2799, 466.20, 467.26, 106490398
12/16/25, 472.21, 491.50, 465.83, 489.88, 107608094
12/15/25, 469.44, 481.7694, 467.66, 475.31, 114542203
12/12/25, 448.09, 463.01, 441.67, 458.96, 95656750
12/11/25, 448.945, 449.2699, 440.33, 446.89, 55979488
12/10/25, 446.065, 456.88, 443.61, 451.45, 63257480
12/09/25, 437.54, 452.39, 435.70, 445.17, 62367441
12/08/25, 447.445, 449.7463, 435.25, 439.58, 69165750
12/05/25, 453.03, 458.87, 451.66, 455.00, 56427520
12/04/25, 449.94, 454.63, 445.39, 454.53, 71906484
12/03/25, 432.10, 447.92, 431.11, 446.74, 87482961
12/02/25, 430.81, 436.80, 422.12, 429.24, 69336633
12/01/25, 425.32, 433.66, 425.29, 430.14, 57033600
11/28/25, 426.59, 432.93, 426.20, 430.17, 36233200
11/26/25, 423.95, 426.94, 416.89, 426.58, 63463000
11/25/25, 414.42, 420.48, 405.95, 419.40, 71915617
11/24/25, 402.17, 421.72, 401.09, 417.78, 96806367
11/21/25, 402.32, 402.80, 383.76, 391.09, 100460602
11/20/25, 414.63, 428.94, 394.74, 395.23, 113548797
11/19/25, 406.18, 411.78, 398.50, 403.99, 72047695
11/18/25, 405.38, 408.90, 393.71, 401.25, 80688641
11/17/25, 398.74, 423.96, 398.74, 408.92, 102214305
11/14/25, 386.30, 412.19, 382.78, 404.35, 105506703
11/13/25, 423.13, 424.50, 396.34, 401.99, 118948000
11/12/25, 442.15, 442.329, 426.56, 430.60, 58513520
11/11/25, 439.40, 442.49, 432.36, 439.62, 60533238
11/10/25, 439.60, 449.6715, 433.36, 445.23, 76515914
11/07/25, 437.92, 439.36, 421.88, 429.52, 103471508
11/06/25, 461.96, 467.45, 435.09, 445.91, 109622898
11/05/25, 452.05, 466.3299, 440.71, 462.07, 85573023
11/04/25, 454.46, 460.22, 443.60, 444.26, 87756641
11/03/25, 455.99, 474.07, 453.80, 468.37, 84595242
10/31/25, 446.75, 458.00, 443.6855, 456.56, 83135789
10/30/25, 451.05, 455.0607, 439.61, 440.10, 72447938
10/29/25, 462.50, 465.70, 452.65, 461.51, 67983539
10/28/25, 454.775, 467.00, 451.60, 460.55, 80185672
10/27/25, 439.98, 460.16, 438.69, 452.42, 105867508
10/24/25, 446.83, 451.68, 430.17, 433.72, 94727766
10/23/25, 420.00, 449.3999, 413.90, 448.98, 126709797
10/22/25, 443.45, 445.539, 429.00, 438.97, 84023453
10/21/25, 445.755, 449.30, 442.05, 442.60, 54412168
10/20/25, 443.865, 449.80, 440.61, 447.43, 63718969
10/17/25, 425.50, 441.4558, 423.60, 439.31, 89331586
10/16/25, 434.73, 439.35, 421.3101, 428.75, 77189891
10/15/25, 434.90, 440.51, 426.3301, 435.15, 71558195
10/14/25, 426.79, 434.20, 417.86, 429.24, 72669438
10/13/25, 423.53, 436.89, 419.70, 435.90, 79552789
10/10/25, 436.54, 443.13, 411.45, 413.49, 112107906
10/09/25, 431.81, 436.35, 426.18, 435.54, 69339930
10/08/25, 437.57, 441.33, 425.23, 438.69, 71192125
10/07/25, 447.82, 452.68, 432.4501, 433.09, 102296094
10/06/25, 440.75, 453.55, 436.69, 453.25, 85324883
10/03/25, 443.285, 446.77, 416.575, 429.83, 133188203
10/02/25, 470.54, 470.75, 435.57, 436.00, 137008984
10/01/25, 443.80, 462.29, 440.75, 459.46, 98122289
09/30/25, 441.52, 445.00, 433.12, 444.72, 74357961
09/29/25, 444.35, 450.98, 439.50, 443.21, 79491516
09/26/25, 428.30, 440.47, 421.02, 440.40, 101628203
