,Date,User,Tweet
0,2022-12-29 07:41:23+00:00,cheruiyotkb,"A stock portfolio comprising Absa, Co-op, KCB, NCBA &amp; Safaricom will guarantee you phase-out dividends with yields as high as 12% 💰

Investing in stocks is not a short term activity. Planned purchases month on month ensures you benefit from ""shilling cost averaging"" &gt;&gt;"
1,2022-12-23 04:35:50+00:00,kenyanwalstreet,"IMPORTANT ANNOUNCEMENT!!

Effective 1st January 2023, all Safaricom Bonga Points older than three (3) years will expire and will be unavailable for redemption.

The Good News is that through @HisaApp, you can convert your Bonga points and invest in US and Kenyan stocks. https://t.co/jQ1Pps1w2d"
2,2022-12-19 19:58:25+00:00,fiendke,"As we head to the Santa surge these are some of the financial plans I publicly spoke of earlier/mid this year;
a) Buying and holding the dollar
b) 💎 hands on doge 
c) Short selling of stocks including safaricom
d) Sell swings on indices"
3,2022-12-15 14:22:31+00:00,KaptenMwendwa,"In spite of it being a shitty company, it looks like @SafaricomPLC @Safaricom_Care has some serious deals! Hurry while stocks last. https://t.co/D6F9fZ1BQ0"
4,2022-12-15 12:00:01+00:00,SafaricomPLC,"Usiwachwe nyuma!  Tuko na offers kibao this festive season. Get the best deals on smartphones, smartwatches and much more. Visit a Safaricom shop or dealer while stocks last! Offer valid from 12th December 2022 - 8th January 2023."
5,2022-12-14 15:04:53+00:00,SafaricomPLC,Christmas is here! Get merry with amazing discounts on smart phones and much more this holiday season! Visit a Safaricom shop or dealer while stocks last! Offer valid from 12th December 2022 - 8th January 2023.
6,2022-12-12 16:57:58+00:00,oaksupreme,"@AndyKe_ Buy stocks za Tesla na KCB, Safaricom na Equity apo https://t.co/mCZmtpVdCT"
7,2022-12-11 10:01:44+00:00,OmmarIF,"Most searched stocks of the week in #Kenya

1.EABL PLC
2.Safaricom
3.Ilam Fahari I-Reit
4.KCB Group
5.Kakuzi
6.Sasini
7.Bamburi Cement
8.Carbacid
9.Equity Group
10.Kenya Electricity Generating Company Ltd

@TheAbojani @NSE_PLC @MwangoCapital @IslamiclyApp @sokodirectory"
8,2022-12-09 05:30:00+00:00,SafaricomET,"Grab your Kimem MiFi and 100 GB data package today and get a 1,000 birr free airtime gift at your nearest Safaricom store.

Offer is available on a first-come, first-served basis while stocks last at your nearest Safaricom branded stores!

#SafaricomEthiopia #FurtherAheadTogether https://t.co/v1C3siUCET"
9,2022-12-06 09:41:32+00:00,ConnectSoko,"The equities market performance was mainly driven by losses recorded by stocks such as Bamburi, Co-operative Bank, Equity Group, and Safaricom of 5.7%, 3.2%, 2.0%, and 1.2% respectively.
#CytonnReport
https://t.co/3NzYA1zO3X"
